b3 ff -- --       	rrxtr
b6 -- -- --       	stctl
b7 -- -- --       	lctl
b9 2d -- --       	kmctr
b9 41 -- --       	cfdtr
b9 42 -- --       	clgdtr
b9 43 -- --       	clfdtr
b9 49 -- --       	cfxtr
b9 4a -- --       	clgxtr
b9 4b -- --       	clfxtr
b9 51 -- --       	cdftr
b9 52 -- --       	cdlgtr
b9 53 -- --       	cdlftr
b9 59 -- --       	cxftr
b9 5a -- --       	cxlgtr
b9 5b -- --       	cxlftr
b9 8e -- --       	idte
b9 8f -- --       	crdte
b9 aa -- --       	lptea
b9 c8 -- --       	ahhhr
b9 c9 -- --       	shhhr
b9 ca -- --       	alhhhr
b9 cb -- --       	slhhhr
b9 d8 -- --       	ahhlr
b9 d9 -- --       	shhlr
b9 da -- --       	alhhlr
b9 db -- --       	slhhlr
b9 e4 -- --       	ngrk
b9 e6 -- --       	ogrk
b9 e7 -- --       	xgrk
b9 e8 -- --       	agrk
b9 e9 -- --       	sgrk
b9 ea -- --       	algrk
b9 eb -- --       	slgrk
b9 f4 -- --       	nrk
b9 f6 -- --       	ork
b9 f7 -- --       	xrk
b9 f8 -- --       	ark
b9 f9 -- --       	srk
b9 fa -- --       	alrk
b9 fb -- --       	slrk
ba -- -- --       	cs
bb -- -- --       	cds
bd -- -- --       	clm
be -- -- --       	stcm
bf -- -- --       	icm
c0 -0 -- -- -- -- 	larl
c0 -1 -- -- -- -- 	lgfi
c0 -5 -- -- -- -- 	brasl
c0 -6 -- -- -- -- 	xihf
c0 -7 -- -- -- -- 	xilf
c0 -8 -- -- -- -- 	iihf
c0 -9 -- -- -- -- 	iilf
c0 -a -- -- -- -- 	nihf
c0 -b -- -- -- -- 	nilf
c0 -c -- -- -- -- 	oihf
c0 -d -- -- -- -- 	oilf
c0 -e -- -- -- -- 	llihf
c0 -f -- -- -- -- 	llilf
c0 04 -- -- -- -- 	brcl
c0 14 -- -- -- -- 	jgo
c0 24 -- -- -- -- 	jgh
c0 34 -- -- -- -- 	jgnle
c0 44 -- -- -- -- 	jgl
c0 54 -- -- -- -- 	jgnhe
c0 64 -- -- -- -- 	jglh
c0 74 -- -- -- -- 	jgne
c0 84 -- -- -- -- 	jge
c0 94 -- -- -- -- 	jgnlh
c0 a4 -- -- -- -- 	jghe
c0 b4 -- -- -- -- 	jgnl
c0 c4 -- -- -- -- 	jgle
c0 d4 -- -- -- -- 	jgnh
c0 e4 -- -- -- -- 	jgno
c0 f4 -- -- -- -- 	jg
c2 -0 -- -- -- -- 	msgfi
c2 -1 -- -- -- -- 	msfi
c2 -4 -- -- -- -- 	slgfi
c2 -5 -- -- -- -- 	slfi
c2 -8 -- -- -- -- 	agfi
c2 -9 -- -- -- -- 	afi
c2 -a -- -- -- -- 	algfi
c2 -b -- -- -- -- 	alfi
