ed     256 tdcdt
ed     256 tdcet
ed     256 tdcxt
ed     256 tdgdt
ed     256 tdget
ed     256 tdgxt
ee   65536 plo
ef   65536 lmd
f0   65536 srp
f1   65536 mvo
f2   65536 pack
f3   65536 unpk
f8   65536 zap
f9   65536 cp
fa   65536 ap
fb   65536 sp
fc   65536 mp
fd   65536 dp
